time,amplitude,frequency,power
4.60425,-0.6806424,0.0,0.46327412
4.6043125,-0.66576713,0.0,0.4432459
4.604375,-0.536168,0.0,0.2874761
4.6044375,-0.4341144,0.0,0.18845531
4.6045,-0.22441256,0.0,0.050360996
4.6045625,0.14282894,0.0,0.020400107
4.604625,0.14361878,0.0,0.020626353
4.6046875,0.3919239,0.0,0.15360434
4.60475,0.6583953,0.0,0.43348435
4.6048125,0.63746464,0.0,0.40636116
4.604875,0.70005924,0.0,0.49008292
4.6049375,0.7598565,0.0,0.5773819
4.605,0.7138814,0.0,0.5096266
4.6050625,0.67267823,0.0,0.452496
4.605125,0.5887909,0.0,0.3466747
4.6051875,0.6074179,0.0,0.36895648
4.60525,0.37309945,0.0,0.13920319
4.6053125,0.37968144,0.0,0.14415799
4.605375,0.22701244,0.0,0.05153465
4.6054375,0.1649773,0.0,0.02721751
4.6055,0.09665635,0.0,0.009342451
4.6055625,-0.029553084,0.0,0.00087338476
4.605625,0.05736194,0.0,0.0032903925
4.6056875,0.010860264,0.0,0.00011794534
4.60575,-0.040742446,0.0,0.0016599469
4.6058125,-0.13361417,0.0,0.017852746
4.605875,-0.105311655,0.0,0.011090545
4.6059375,-0.14773251,0.0,0.021824894
4.606,-0.31981835,0.0,0.102283776
4.6060625,-0.46830776,0.0,0.21931216
4.606125,-0.41575068,0.0,0.17284863
4.6061875,-0.6094583,0.0,0.37143946
4.60625,-0.73876125,0.0,0.5457682
4.6063125,-0.70966893,0.0,0.50363
4.606375,-0.78157705,0.0,0.6108627
4.6064375,-0.8367011,0.0,0.7000687
4.6065,-0.70140857,0.0,0.49197397
4.6065625,-0.6388798,0.0,0.40816736
4.606625,-0.609952,0.0,0.3720414
4.6066875,-0.4334891,0.0,0.1879128
4.60675,-0.24195354,0.0,0.058541514
4.6068125,-0.0031264399,0.0,9.774626e-06
4.606875,0.18548016,0.0,0.034402892
4.6069375,0.2930626,0.0,0.08588569
4.607,0.58313036,0.0,0.340041
4.6070625,0.7855591,0.0,0.6171031
4.607125,0.764431,0.0,0.58435476
4.6071875,0.76321334,0.0,0.5824946
4.60725,0.787435,0.0,0.6200539
4.6073125,0.7409004,0.0,0.5489334
4.607375,0.7441585,0.0,0.55377185
4.6074375,0.59369445,0.0,0.3524731
4.6075,0.37533733,0.0,0.14087811
4.6075625,0.33317974,0.0,0.11100874
4.607625,0.18403213,0.0,0.033867825
4.6076875,0.26561573,0.0,0.070551716
4.60775,0.16583295,0.0,0.027500568
4.6078125,0.08388732,0.0,0.0070370818
